#num,year,month,date,time[second],SeaIceExtent[km2]
0,1978,11,01,0,17329981
1,1978,11,03,172800,17218434
2,1978,11,05,345600,17072150
3,1978,11,07,518400,16896412
4,1978,11,09,691200,16681229
5,1978,11,11,864000,16387042
6,1978,11,13,1036800,16082585
7,1978,11,15,1209600,15900705
8,1978,11,17,1382400,15613098
9,1978,11,19,1555200,15310299
10,1978,11,21,1728000,15054551
11,1978,11,23,1900800,14782868
12,1978,11,25,2073600,14415077
13,1978,11,27,2246400,14012601
14,1978,11,29,2419200,13720729
15,1978,12,01,2592000,13427270
16,1978,12,03,2764800,13153473
17,1978,12,05,2937600,12825794
18,1978,12,07,3110400,12358961
19,1978,12,09,3283200,12011108
20,1978,12,11,3456000,11596245
21,1978,12,13,3628800,11450578
22,1978,12,15,3801600,11010927
23,1978,12,17,3974400,10206992
24,1978,12,19,4147200,9736028
25,1978,12,21,4320000,9274153
26,1978,12,23,4492800,8781807
27,1978,12,25,4665600,8401502
28,1978,12,27,4838400,7874217
29,1978,12,29,5011200,7520754
30,1978,12,31,5184000,7226951
31,1979,01,02,5356800,6988174
32,1979,01,04,5529600,6693755
33,1979,01,06,5702400,6485669
34,1979,01,08,5875200,6311304
35,1979,01,10,6048000,6061273
36,1979,01,12,6220800,5828819
37,1979,01,14,6393600,5532252
38,1979,01,16,6566400,5320865
39,1979,01,18,6739200,5129817
40,1979,01,20,6912000,4911085
41,1979,01,22,7084800,4615430
42,1979,01,24,7257600,4372962
43,1979,01,26,7430400,4188985
44,1979,01,28,7603200,3949066
45,1979,01,30,7776000,3790491
46,1979,02,01,7948800,3643704
47,1979,02,03,8121600,3441577
48,1979,02,05,8294400,3268598
49,1979,02,07,8467200,3171645
50,1979,02,09,8640000,3059575
51,1979,02,11,8812800,3020926
52,1979,02,13,8985600,2936843
53,1979,02,15,9158400,2936679
54,1979,02,17,9331200,2870610
55,1979,02,19,9504000,2901827
56,1979,02,21,9676800,2902776
57,1979,02,23,9849600,2945397
58,1979,02,25,10022400,3012287
59,1979,02,27,10195200,3053654
60,1979,03,01,10368000,3090964
61,1979,03,03,10540800,3188450
